,Unnamed: 0,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_<1hour_ocean,ocean_proximity_inland,ocean_proximity_island,ocean_proximity_near_bay,ocean_proximity_near_ocean
0,0,-122.23,37.88,41.0,880,129,322,126,8.3252,452600.0,0,0,0,1,0
1,1,-122.22,37.86,21.0,7099,1106,2401,1138,8.3014,358500.0,0,0,0,1,0
2,2,-122.24,37.85,52.0,1467,190,496,177,7.2574,352100.0,0,0,0,1,0
3,3,-122.25,37.85,52.0,1274,235,558,219,5.6431,341300.0,0,0,0,1,0
4,4,-122.25,37.85,52.0,1627,280,565,259,3.8462,342200.0,0,0,0,1,0
5,5,-122.25,37.85,52.0,919,213,413,193,4.0368,269700.0,0,0,0,1,0
6,6,-122.25,37.84,52.0,2535,489,1094,514,3.6591,299200.0,0,0,0,1,0
7,7,-122.25,37.84,52.0,3104,687,1157,647,3.12,241400.0,0,0,0,1,0
8,8,-122.26,37.84,42.0,2555,665,1206,595,2.0804,226700.0,0,0,0,1,0
9,9,-122.25,37.84,52.0,3549,707,1551,714,3.6912,261100.0,0,0,0,1,0
10,10,-122.26,37.85,52.0,2202,434,910,402,3.2031,281500.0,0,0,0,1,0
11,11,-122.26,37.85,52.0,3503,752,1504,734,3.2705,241800.0,0,0,0,1,0
12,12,-122.26,37.85,52.0,2491,474,1098,468,3.075,213500.0,0,0,0,1,0
13,13,-122.26,37.84,52.0,696,191,345,174,2.6736,191300.0,0,0,0,1,0
14,14,-122.26,37.85,52.0,2643,626,1212,620,1.9167,159200.0,0,0,0,1,0
15,15,-122.26,37.85,50.0,1120,283,697,264,2.125,140000.0,0,0,0,1,0
16,16,-122.27,37.85,52.0,1966,347,793,331,2.775,152500.0,0,0,0,1,0
17,17,-122.27,37.85,52.0,1228,293,648,303,2.1202,155500.0,0,0,0,1,0
18,18,-122.26,37.84,50.0,2239,455,990,419,1.9911,158700.0,0,0,0,1,0
19,19,-122.27,37.84,52.0,1503,298,690,275,2.6033,162900.0,0,0,0,1,0
20,20,-122.27,37.85,40.0,751,184,409,166,1.3578,147500.0,0,0,0,1,0
21,21,-122.27,37.85,42.0,1639,367,929,366,1.7135,159800.0,0,0,0,1,0
22,22,-122.27,37.84,52.0,2436,541,1015,478,1.725,113900.0,0,0,0,1,0
23,23,-122.27,37.84,52.0,1688,337,853,325,2.1806,99700.0,0,0,0,1,0
24,24,-122.27,37.84,52.0,2224,437,1006,422,2.6,132600.0,0,0,0,1,0
25,25,-122.28,37.85,41.0,535,123,317,119,2.4038,107500.0,0,0,0,1,0
26,26,-122.28,37.85,49.0,1130,244,607,239,2.4597,93800.0,0,0,0,1,0
27,27,-122.28,37.85,52.0,1898,421,1102,397,1.808,105500.0,0,0,0,1,0
28,28,-122.28,37.84,50.0,2082,492,1131,473,1.6424,108900.0,0,0,0,1,0
29,29,-122.28,37.84,52.0,729,160,395,155,1.6875,132000.0,0,0,0,1,0
30,30,-122.28,37.84,49.0,1916,447,863,378,1.9274,122300.0,0,0,0,1,0
31,31,-122.28,37.84,52.0,2153,481,1168,441,1.9615,115200.0,0,0,0,1,0
32,32,-122.27,37.84,48.0,1922,409,1026,335,1.7969,110400.0,0,0,0,1,0
33,33,-122.27,37.83,49.0,1655,366,754,329,1.375,104900.0,0,0,0,1,0
34,34,-122.27,37.83,51.0,2665,574,1258,536,2.7303,109700.0,0,0,0,1,0
35,35,-122.27,37.83,49.0,1215,282,570,264,1.4861,97200.0,0,0,0,1,0
36,36,-122.27,37.83,48.0,1798,432,987,374,1.0972,104500.0,0,0,0,1,0
37,37,-122.28,37.83,52.0,1511,390,901,403,1.4103,103900.0,0,0,0,1,0
38,38,-122.26,37.83,52.0,1470,330,689,309,3.48,191400.0,0,0,0,1,0
39,39,-122.26,37.83,52.0,2432,715,1377,696,2.5898,176000.0,0,0,0,1,0
40,40,-122.26,37.83,52.0,1665,419,946,395,2.0978,155400.0,0,0,0,1,0
41,41,-122.26,37.83,51.0,936,311,517,249,1.2852,150000.0,0,0,0,1,0
42,42,-122.26,37.84,49.0,713,202,462,189,1.025,118800.0,0,0,0,1,0
43,43,-122.26,37.84,52.0,950,202,467,198,3.9643,188800.0,0,0,0,1,0
44,44,-122.26,37.83,52.0,1443,311,660,292,3.0125,184400.0,0,0,0,1,0
45,45,-122.26,37.83,52.0,1656,420,718,382,2.6768,182300.0,0,0,0,1,0
46,46,-122.26,37.83,50.0,1125,322,616,304,2.026,142500.0,0,0,0,1,0
47,47,-122.27,37.82,43.0,1007,312,558,253,1.7348,137500.0,0,0,0,1,0
48,48,-122.26,37.82,40.0,624,195,423,160,0.9506,187500.0,0,0,0,1,0
49,49,-122.27,37.82,40.0,946,375,700,352,1.775,112500.0,0,0,0,1,0
50,50,-122.27,37.82,21.0,896,453,735,438,0.9218,171900.0,0,0,0,1,0
51,51,-122.27,37.82,43.0,1868,456,1061,407,1.5045,93800.0,0,0,0,1,0
52,52,-122.27,37.82,41.0,3221,853,1959,720,1.1108,97500.0,0,0,0,1,0
53,53,-122.27,37.82,52.0,1630,456,1162,400,1.2475,104200.0,0,0,0,1,0
54,54,-122.28,37.82,52.0,1170,235,701,233,1.6098,87500.0,0,0,0,1,0
55,55,-122.28,37.82,52.0,945,243,576,220,1.4113,83100.0,0,0,0,1,0
56,56,-122.28,37.82,52.0,1238,288,622,259,1.5057,87500.0,0,0,0,1,0
57,57,-122.28,37.82,52.0,1489,335,728,244,0.8172,85300.0,0,0,0,1,0
58,58,-122.28,37.82,52.0,1387,341,1074,304,1.2171,80300.0,0,0,0,1,0
